epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2078.32,0.7432,1.34384,1.2301,0.13844,0.12823,0.09843,0.0549,2.08175,3.69721,2.12991,9.14341e-05,9.14341e-05,9.14341e-05
91,2097.78,0.85045,1.22585,1.36588,0.14501,0.1112,0.0943,0.05278,2.13953,3.6675,2.15266,8.3821e-05,8.3821e-05,8.3821e-05
92,2117.1,0.78855,1.10521,1.30487,0.14572,0.1261,0.09872,0.05513,2.14028,3.65078,2.15341,7.62079e-05,7.62079e-05,7.62079e-05
93,2136.42,0.79368,1.07541,1.32276,0.14723,0.12594,0.09835,0.0553,2.13208,3.69873,2.16854,6.85948e-05,6.85948e-05,6.85948e-05
94,2155.71,0.78034,1.06132,1.31033,0.15754,0.12751,0.10006,0.05471,2.14936,3.70719,2.20024,6.09817e-05,6.09817e-05,6.09817e-05
95,2175.1,0.75931,1.01998,1.29606,0.15309,0.12574,0.09967,0.05626,2.11571,3.71345,2.17037,5.33686e-05,5.33686e-05,5.33686e-05
96,2194.43,0.77146,1.0158,1.2998,0.15124,0.12376,0.10072,0.05639,2.13767,3.75713,2.18642,4.57555e-05,4.57555e-05,4.57555e-05
97,2213.74,0.76465,0.97495,1.29014,0.15229,0.12898,0.10025,0.05659,2.1335,3.77753,2.19445,3.81424e-05,3.81424e-05,3.81424e-05
98,2233.12,0.7443,0.99482,1.28878,0.14708,0.12285,0.09906,0.05535,2.14587,3.81637,2.21094,3.05293e-05,3.05293e-05,3.05293e-05
99,2252.37,0.73002,0.95287,1.26592,0.14625,0.12327,0.10008,0.05484,2.14332,3.77039,2.20383,2.29162e-05,2.29162e-05,2.29162e-05
100,2271.71,0.72155,0.94702,1.25635,0.14818,0.12519,0.09991,0.05531,2.1436,3.74139,2.21353,1.53031e-05,1.53031e-05,1.53031e-05
